device_name_actual,school_name_official,gender,sch_psle,level
47532,Xinmin Secondary School,99.0,3.0,2
47534,Xinmin Secondary School,99.0,3.0,2
47538,Xinmin Secondary School,99.0,3.0,1
47539,Xinmin Secondary School,99.0,3.0,2
47542,Xinmin Secondary School,99.0,3.0,2
47543,Xinmin Secondary School,99.0,3.0,1
47544,Xinmin Secondary School,99.0,3.0,2
47547,Xinmin Secondary School,99.0,3.0,2
47548,Xinmin Secondary School,99.0,3.0,2
47549,Xinmin Secondary School,99.0,3.0,2
47550,Xinmin Secondary School,99.0,3.0,2
47560,Xinmin Secondary School,99.0,3.0,2
47561,Xinmin Secondary School,99.0,3.0,2
47565,Xinmin Secondary School,99.0,3.0,2
47567,Xinmin Secondary School,99.0,3.0,2
47574,Xinmin Secondary School,99.0,3.0,2
47576,Xinmin Secondary School,99.0,3.0,1
47577,Xinmin Secondary School,99.0,3.0,2
47579,Xinmin Secondary School,99.0,3.0,2
47582,Xinmin Secondary School,99.0,3.0,1
47585,Xinmin Secondary School,99.0,3.0,2
47586,Xinmin Secondary School,99.0,3.0,2
47589,Xinmin Secondary School,99.0,3.0,2
47593,Xinmin Secondary School,99.0,3.0,2
47599,Xinmin Secondary School,99.0,3.0,2
47600,Xinmin Secondary School,99.0,3.0,2
47601,Xinmin Secondary School,99.0,3.0,2
47602,Xinmin Secondary School,99.0,3.0,2
47604,Xinmin Secondary School,99.0,3.0,2
47610,Xinmin Secondary School,99.0,3.0,2
47616,Xinmin Secondary School,99.0,3.0,2
47618,Xinmin Secondary School,99.0,3.0,2
47621,Xinmin Secondary School,99.0,3.0,2
47632,Xinmin Secondary School,99.0,3.0,2
47637,Xinmin Secondary School,99.0,3.0,2
47642,Xinmin Secondary School,99.0,3.0,2
47643,Xinmin Secondary School,99.0,3.0,1
47645,Xinmin Secondary School,99.0,3.0,1
47647,Xinmin Secondary School,99.0,3.0,1
47649,Xinmin Secondary School,99.0,3.0,2
47651,Xinmin Secondary School,99.0,3.0,1
47652,Xinmin Secondary School,99.0,3.0,2
47653,Xinmin Secondary School,99.0,3.0,1
47657,Xinmin Secondary School,99.0,3.0,2
47660,Xinmin Secondary School,99.0,3.0,2
47664,Xinmin Secondary School,99.0,3.0,2
47666,Xinmin Secondary School,99.0,3.0,2
47668,Xinmin Secondary School,99.0,3.0,1
47670,Xinmin Secondary School,99.0,3.0,2
47674,Xinmin Secondary School,99.0,3.0,2
47675,Xinmin Secondary School,99.0,3.0,2
47677,Xinmin Secondary School,99.0,3.0,2
47685,Xinmin Secondary School,99.0,3.0,2
47687,Xinmin Secondary School,99.0,3.0,2
47688,Xinmin Secondary School,99.0,3.0,2
47689,Xinmin Secondary School,99.0,3.0,2
47692,Xinmin Secondary School,99.0,3.0,2
47702,Xinmin Secondary School,99.0,3.0,2
47704,Xinmin Secondary School,99.0,3.0,2
47708,Xinmin Secondary School,99.0,3.0,2
47713,Xinmin Secondary School,99.0,3.0,2
47718,Xinmin Secondary School,99.0,3.0,2
47719,Xinmin Secondary School,99.0,3.0,2
47721,Xinmin Secondary School,99.0,3.0,2
47723,Xinmin Secondary School,99.0,3.0,1
47725,Xinmin Secondary School,99.0,3.0,2
47729,Xinmin Secondary School,99.0,3.0,2
47731,Xinmin Secondary School,99.0,3.0,2
47736,Xinmin Secondary School,99.0,3.0,2
47738,Xinmin Secondary School,99.0,3.0,1
47739,Xinmin Secondary School,99.0,3.0,2
47742,Xinmin Secondary School,99.0,3.0,1
47743,Xinmin Secondary School,99.0,3.0,2
47744,Xinmin Secondary School,99.0,3.0,2
47747,Xinmin Secondary School,99.0,3.0,2
47748,Xinmin Secondary School,99.0,3.0,2
47763,Xinmin Secondary School,99.0,3.0,1
47766,Xinmin Secondary School,99.0,3.0,1
47768,Xinmin Secondary School,99.0,3.0,2
47772,Xinmin Secondary School,99.0,3.0,2
47777,Xinmin Secondary School,99.0,3.0,2
47781,Xinmin Secondary School,99.0,3.0,2
47786,Xinmin Secondary School,99.0,3.0,2
47788,Xinmin Secondary School,99.0,3.0,2
47789,Xinmin Secondary School,99.0,3.0,1
47799,Xinmin Secondary School,99.0,3.0,2
47802,Xinmin Secondary School,99.0,3.0,2
47803,Xinmin Secondary School,99.0,3.0,2
47810,Xinmin Secondary School,99.0,3.0,1
47813,Xinmin Secondary School,99.0,3.0,2
47814,Xinmin Secondary School,99.0,3.0,1
47815,Xinmin Secondary School,99.0,3.0,1
47819,Xinmin Secondary School,99.0,3.0,2
47822,Xinmin Secondary School,99.0,3.0,1
47828,Xinmin Secondary School,99.0,3.0,2
47836,Xinmin Secondary School,99.0,3.0,1
47837,Xinmin Secondary School,99.0,3.0,2
47841,Xinmin Secondary School,99.0,3.0,2
47843,Xinmin Secondary School,99.0,3.0,2
47844,Xinmin Secondary School,99.0,3.0,2
47857,Xinmin Secondary School,99.0,3.0,2
47858,Xinmin Secondary School,99.0,3.0,2
47859,Xinmin Secondary School,99.0,3.0,2
47866,Xinmin Secondary School,99.0,3.0,1
47885,Xinmin Secondary School,99.0,3.0,2
47886,Xinmin Secondary School,99.0,3.0,2
47887,Xinmin Secondary School,99.0,3.0,2
47889,Xinmin Secondary School,99.0,3.0,2
47895,Xinmin Secondary School,99.0,3.0,1
47902,Xinmin Secondary School,99.0,3.0,2
47911,Xinmin Secondary School,99.0,3.0,2
47914,Xinmin Secondary School,99.0,3.0,2
47917,Xinmin Secondary School,99.0,3.0,2
47921,Xinmin Secondary School,99.0,3.0,2
47934,Xinmin Secondary School,99.0,3.0,1
47938,Xinmin Secondary School,99.0,3.0,1
47940,Xinmin Secondary School,99.0,3.0,2
47941,Xinmin Secondary School,99.0,3.0,1
47952,Xinmin Secondary School,99.0,3.0,2
47956,Xinmin Secondary School,99.0,3.0,2
47961,Xinmin Secondary School,99.0,3.0,1
47970,Xinmin Secondary School,99.0,3.0,2
47975,Xinmin Secondary School,99.0,3.0,2
47980,Xinmin Secondary School,99.0,3.0,1
47982,Xinmin Secondary School,99.0,3.0,2
48001,Xinmin Secondary School,99.0,3.0,1
48012,Xinmin Secondary School,99.0,3.0,2
48018,Xinmin Secondary School,99.0,3.0,2
48027,Xinmin Secondary School,99.0,3.0,1
48031,Xinmin Secondary School,99.0,3.0,1
48037,Xinmin Secondary School,99.0,3.0,2
48097,Xinmin Secondary School,99.0,3.0,1
48108,Xinmin Secondary School,99.0,3.0,2
48136,Xinmin Secondary School,99.0,3.0,2
48147,Xinmin Secondary School,99.0,3.0,2
48153,Xinmin Secondary School,99.0,3.0,2
48182,Xinmin Secondary School,99.0,3.0,2
48183,Xinmin Secondary School,99.0,3.0,2
48185,Xinmin Secondary School,99.0,3.0,2
48192,Xinmin Secondary School,99.0,3.0,2
48193,Xinmin Secondary School,99.0,3.0,2
48206,Xinmin Secondary School,99.0,3.0,2
48224,Xinmin Secondary School,99.0,3.0,2
48233,Xinmin Secondary School,99.0,3.0,2
48234,Xinmin Secondary School,99.0,3.0,2
48235,Xinmin Secondary School,99.0,3.0,2
48245,Xinmin Secondary School,99.0,3.0,2
48254,Xinmin Secondary School,99.0,3.0,2
48286,Xinmin Secondary School,99.0,3.0,2
48287,Xinmin Secondary School,99.0,3.0,2
48296,Xinmin Secondary School,99.0,3.0,2
48299,Xinmin Secondary School,99.0,3.0,2
48303,Xinmin Secondary School,99.0,3.0,2
48313,Xinmin Secondary School,99.0,3.0,2
48327,Xinmin Secondary School,99.0,3.0,2
48331,Xinmin Secondary School,99.0,3.0,2
48337,Xinmin Secondary School,99.0,3.0,2
48339,Xinmin Secondary School,99.0,3.0,2
48341,Xinmin Secondary School,99.0,3.0,2
48353,Xinmin Secondary School,99.0,3.0,2
48358,Xinmin Secondary School,99.0,3.0,2
48366,Xinmin Secondary School,99.0,3.0,2
48370,Xinmin Secondary School,99.0,3.0,2
48372,Xinmin Secondary School,99.0,3.0,2
48379,Xinmin Secondary School,99.0,3.0,2
48389,Xinmin Secondary School,99.0,3.0,2
48400,Xinmin Secondary School,99.0,3.0,2
48402,Xinmin Secondary School,99.0,3.0,2
48415,Xinmin Secondary School,99.0,3.0,2
48438,Xinmin Secondary School,99.0,3.0,2
48445,Xinmin Secondary School,99.0,3.0,2
48451,Xinmin Secondary School,99.0,3.0,2
48486,Xinmin Secondary School,99.0,3.0,1
48488,Xinmin Secondary School,99.0,3.0,2
48493,Xinmin Secondary School,99.0,3.0,2
48516,Xinmin Secondary School,99.0,3.0,2
48526,Xinmin Secondary School,99.0,3.0,2
48549,Xinmin Secondary School,99.0,3.0,2
48582,Xinmin Secondary School,99.0,3.0,2
48587,Xinmin Secondary School,99.0,3.0,2
48591,Xinmin Secondary School,99.0,3.0,2
48592,Xinmin Secondary School,99.0,3.0,2
48595,Xinmin Secondary School,99.0,3.0,2
48597,Xinmin Secondary School,99.0,3.0,2
48606,Xinmin Secondary School,99.0,3.0,2
48629,Xinmin Secondary School,99.0,3.0,2
48631,Xinmin Secondary School,99.0,3.0,2
436,Chua Chu Kang Secondary School,99.0,4.0,2
11969,Chua Chu Kang Secondary School,99.0,4.0,2
11974,Chua Chu Kang Secondary School,99.0,4.0,2
11981,Chua Chu Kang Secondary School,99.0,4.0,2
11983,Chua Chu Kang Secondary School,99.0,4.0,2
11984,Chua Chu Kang Secondary School,99.0,4.0,2
11986,Chua Chu Kang Secondary School,99.0,4.0,2
11987,Chua Chu Kang Secondary School,99.0,4.0,2
11990,Chua Chu Kang Secondary School,99.0,4.0,2
11992,Chua Chu Kang Secondary School,99.0,4.0,2
11993,Chua Chu Kang Secondary School,99.0,4.0,2
11994,Chua Chu Kang Secondary School,99.0,4.0,1
11995,Chua Chu Kang Secondary School,99.0,4.0,2
11996,Chua Chu Kang Secondary School,99.0,4.0,2
11999,Chua Chu Kang Secondary School,99.0,4.0,2
12000,Chua Chu Kang Secondary School,99.0,4.0,2
12001,Chua Chu Kang Secondary School,99.0,4.0,1
12003,Chua Chu Kang Secondary School,99.0,4.0,1
12007,Chua Chu Kang Secondary School,99.0,4.0,2
12009,Chua Chu Kang Secondary School,99.0,4.0,1
12011,Chua Chu Kang Secondary School,99.0,4.0,1
12014,Chua Chu Kang Secondary School,99.0,4.0,2
12019,Chua Chu Kang Secondary School,99.0,4.0,2
12021,Chua Chu Kang Secondary School,99.0,4.0,2
12025,Chua Chu Kang Secondary School,99.0,4.0,2
12026,Chua Chu Kang Secondary School,99.0,4.0,2
12028,Chua Chu Kang Secondary School,99.0,4.0,2
